App > Industry/Discipline > Module,Simulation Name,Duration (Min),Learning Objective,Standards Body > Category,Standards
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 2,20,Trainee will interpret and pull measurements from the job site for offsets.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 2,20,Trainee will prepare EMT and perform 90-degree bend.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 2,20,Trainee will evaluate and correct an offset bend for accuracy.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 2,20,Trainee will calculate and convert measurements into bend marks for offset.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will use a laser to mark locations for ceiling fasteners for an HR box.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will set up single conduit install.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will secure EMT vertically and horizontally.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will measure and punch holes in studs.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will install EMT between device boxes.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will calculate measurements for bending and cutting conduit.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will bend and cut EMT to back-to-back 90 degree bends and correct stub lengths.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will install a wedge anchor for an HR box.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will measure and install single conduit.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 3,24,Trainee will connect single conduit to overhead box.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will use a laser to mark locations for ceiling fasteners.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will support MC vertically.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will support and label overhead conduit.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will secure EMT vertically and horizontally.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will install EMT between device boxes.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will calculate measurements for bending offset.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will calculate measurements for bending and cutting conduit.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will bend and cut EMT to back-to-back 90 degree bends and correct stub lengths.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will install MC when an HR box is present.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will install a 2100 box using a powder-actuated fastener with extension pole.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will cut and connect offset to complete branch run.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will measure and punch holes in studs to install horizontal conduit.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will evaluate and correct an offset bend for accuracy.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will lay out markings for offset bends.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will calculate and convert measurements for offset bends.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will interpret and pull measurements from the job site for offset bending.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,"Trainee will demonstrate how to calculate and convert measurements interpreted from a job site, then lay out and evaluate offset bends according to specifications.",OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,"Trainee will demonstrate how to take measurements, then calculate and perform a 90-degree bend.",OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,Trainee will find values for 90-degree conduit bends.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,Trainee will prepare EMT and perform 90-degree bend.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to 90-Degree Stub-Ups,25,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to 90-Degree Stub-Ups,25,"Trainee will demonstrate how to calculate, measure, mark, and bend a 90-degree stub-up.",OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to 90-Degree Stub-Ups,25,Trainee will perform and check a bend for a 90-degree stub-up.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to 90-Degree Stub-Ups,25,Trainee will prepare EMT and bender for 90-degree stub-ups.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to 90-Degree Stub-Ups,25,Trainee will understand key terms and concepts of 90-degree stub-ups.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will perform an offset bend.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will perform and evaluate an offset bend.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will evaluate an offset bend.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will orient to tasks and prepare materials for an offset conduit bend.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will bend conduit around an obstacle.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will calculate and perform an offset bend around an obstacle.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will measure an obstruction to bend conduit around it.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will mark conduit to bend around an obstacle.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Preparing and Performing Offsets,30,Trainee will check conduit bend around obstacle.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will demonstrate how to run conduit between boxes of the same heights.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will install conduit between boxes of same height.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will bend conduit to install between boxes of same height.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will cut conduit for install between boxes of same height.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will measure and punch holes in studs to install conduit between boxes of same height.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 1,30,Trainee will understand measurements for horizontal conduit install.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will demonstrate how to run conduit between boxes of different heights.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will install EMT between device boxes of different heights.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will bend and cut EMT to back-to-back 90 degree bends and correct stub lengths.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will secure EMT vertically and horizontally.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 2,29,Trainee will calculate measurements for bending and cutting conduit to be installed between boxes of different heights.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will demonstrate how to run conduit between boxes with obstructions.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will install EMT between device boxes with obstructions.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will bend and cut EMT to back-to-back 90 degree bends and correct stub lengths.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will measure and punch holes in studs to install conduit between boxes with obstructions.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will secure EMT vertically and horizontally.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal Conduit 3,32,Trainee will calculate measurements for bending and cutting conduit to be run between boxes with obstructions.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 1,30,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 1,30,Trainee will demonstrate how to run a horizontal MC between boxes of the same height.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 1,30,Trainee will install MC between device boxes of same height.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 1,30,Trainee will secure MC vertically and horizontally.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 1,30,Trainee will measure and punch holes in studs to run a horizontal MC between boxes of the same height.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will demonstrate how to run a horizontal MC between boxes of different heights.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will install MC between device boxes with different heights.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will secure MC vertically and horizontally.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will measure and punch holes in studs to run a horizontal MC between boxes with different heights.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 2,24,Trainee will prepare MC for installation between boxes with different heights.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will demonstrate how to run a horizontal MC between boxes with obstructions.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will install MC between device boxes with an obstruction.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will select and prepare MC for installation between boxes with obstructions.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will secure MC vertically and horizontally.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Horizontal MC 3,20,Trainee will plan a route for MC installation between boxes with obstructions.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,"Trainee will demonstrate how to safely install HR and OH 2100 boxes using actuated fasteners, wedge anchors, and beam clamps.",OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will install OH 2100 box.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will install HR box with wedge anchor.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will install HR Box with I-beam clamp.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will identify hazards to safely install HR and OH 2100 boxes.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,"Trainee will demonstrate how to safely install HR and OH 2100 boxes using actuated fasteners, wedge anchors, and beam clamps.",OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will install OH 2100 box.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will install HR box with wedge anchor.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will install HR Box with I-beam clamp.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Installing HR & OH 2100 Boxes,29,Trainee will identify hazards to safely install HR and OH 2100 boxes.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,"Trainee will demonstrate how to install EMT conduit that includes overhead supports and couplings, per specifications.",OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will perform post-installation quality check.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will label conduit with panel and circuit number.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will install an overhead conduit clip to attach conduit to overhead allthread.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will use overhead supports and couplings to install overhead conduit between two boxes.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will support overhead conduit within 3 feet of each box and within 10 feet thereafter.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 1,20,Trainee will identify which circuits stay in a box and which continue on.,OSHA > OSHA-10: General > Subpart P: Hand & Portable Powered Tools,GS.1910.242 > Hand Tools must be in a safe condition.
